t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,severity
0.0263,0.0105,0.0171,0.0115,0.0488,0.0071,0.0118,0.0285,0.0119,0.0898,0.0591,0.1545,0.3925,0.7407,1.2617,1.8467,2.3494,2.5833,2.4461,2.1385,1.5705,1.1437,0.8254,0.5948,0.4871,0.4241,0.3225,0.2403,0.2163,0.1229,0.095,0.0673,0.0496,0.0162,0.0257,0.0037,0.0082,0.0356,0.0191,0.0053,0.0407,0.071,0.0616,0.0512,0.0189,0.0013,0.0044,0.0302,0.0317,0.0078,31.08
0.0089,0.0019,0.0028,0.0165,0.0153,0.0086,0.0283,0.0179,0.0261,0.0184,0.001,0.0249,0.0272,0.0534,0.016,0.023,0.0024,0.0191,0.0222,0.0086,0.0046,0.0051,0.0087,0.0174,0.0909,0.2846,0.7263,1.3732,2.1142,2.4089,2.1613,1.6373,0.9985,0.5188,0.2921,0.2359,0.1384,0.1079,0.0678,0.0604,0.0365,0.0379,0.0049,0.0284,0.0493,0.0236,0.0656,0.0143,0.0335,0.0299,25.17
0.0181,0.042,0.0363,0.017,0.0023,0.0461,0.0198,0.0178,0.0143,0.0173,0.0046,0.0465,0.0664,0.0404,0.0097,0.001,0.0575,0.0413,0.0705,0.0832,0.2693,0.8689,2.1292,4.1133,6.149,7.0921,6.3819,4.9123,3.1199,1.9597,1.397,1.1378,0.9324,0.6843,0.5152,0.2834,0.2093,0.0896,0.0848,0.0339,0.0471,0.0361,0.0262,0.0242,0.0051,0.0215,0.0103,0.0169,0.0149,0.0085,76.17
0.0387,0.019,0.0339,0.007,0.0061,0.0148,0.0305,0.0523,0.0317,0.0097,0.0064,0.0304,0.0147,0.0374,0.1105,0.326,1.134,2.9377,5.8482,8.8913,10.3095,9.0827,6.7392,4.06,2.6597,2.2667,2.3161,2.3633,2.2498,1.8162,1.3673,0.8808,0.5118,0.2995,0.1432,0.0677,0.0218,0.0377,0.0103,0.0135,0.0665,0.0043,0.036,0.0128,0.0219,0.0283,0.0066,0.0709,0.0007,0.037,100.0
0.0134,0.0517,0.0216,0.0124,0.0126,0.0378,0.0096,0.0298,0.0522,0.1637,0.3741,0.6298,1.0994,1.7291,2.4064,2.8863,3.0893,2.9509,2.6148,2.018,1.3996,0.9421,0.6912,0.5301,0.4447,0.3282,0.274,0.2257,0.1832,0.1564,0.1191,0.0677,0.0473,0.044,0.0894,0.0189,0.0216,0.0357,0.0433,0.0529,0.0754,0.0231,0.0138,0.0175,0.0066,0.005,0.0004,0.0293,0.0449,0.0218,39.95
0.0475,0.0237,0.0208,0.0085,0.0357,0.0307,0.0063,0.0102,0.0288,0.0194,0.0205,0.0398,0.0087,0.0455,0.0344,0.0334,0.035,0.0382,0.0341,0.0153,0.0185,0.0485,0.0232,0.0345,0.0068,0.0131,0.08,0.1338,0.1943,0.4524,0.9355,1.5944,2.3289,2.9426,3.1687,2.9492,2.4804,1.6714,1.0247,0.5018,0.2322,0.1671,0.0853,0.0461,0.0636,0.0192,0.0327,0.0346,0.0244,0.0144,37.13
0.0336,0.0471,0.002,0.0358,0.0103,0.0271,0.0062,0.0134,0.0127,0.0481,0.0338,0.0043,0.0631,0.1156,0.4845,1.6263,4.0114,6.8743,8.2692,6.9509,4.7634,2.5659,1.6108,1.2853,1.0383,0.7414,0.4788,0.2467,0.1054,0.0944,0.0882,0.0481,0.0669,0.0375,0.0666,0.031,0.0148,0.019,0.0477,0.0303,0.0066,0.0161,0.037,0.0114,0.0344,0.0179,0.02,0.005,0.0161,0.0244,84.45
0.0058,0.0083,0.0096,0.0042,0.0113,0.0947,0.0272,0.0124,0.007,0.0135,0.0039,0.0088,0.0564,0.0471,0.0191,0.0062,0.0072,0.0443,0.0445,0.0225,0.0456,0.0039,0.0267,0.0632,0.0393,0.1419,0.7331,2.6808,6.5887,11.502,14.0165,12.2226,8.8052,5.7246,4.5843,4.2295,3.709,2.8086,1.8437,1.0148,0.5121,0.2484,0.1186,0.0596,0.0533,0.0605,0.0292,0.0202,0.0382,0.023,100.0
0.0236,0.0197,0.043,0.0413,0.0103,0.0343,0.0347,0.0051,0.022,0.0287,0.0355,0.0349,0.0361,0.0068,0.0189,0.009,0.0204,0.0213,0.0634,0.0127,0.0019,0.0083,0.0348,0.0545,0.0154,0.0271,0.0393,0.0461,0.0764,0.2355,0.6229,1.4578,2.6739,3.9116,4.3845,3.8648,2.9619,1.7471,0.9442,0.6338,0.5901,0.6585,0.6658,0.6005,0.484,0.3319,0.2144,0.1162,0.0657,0.0675,49.25
0.0195,0.0267,0.0417,0.0354,0.0206,0.0486,0.1295,0.2393,0.5172,0.9835,1.6962,2.5668,3.4459,4.1532,4.4506,4.2238,3.7551,2.8643,2.0099,1.3235,0.8915,0.6449,0.5194,0.4267,0.355,0.302,0.2423,0.2178,0.133,0.1205,0.1024,0.0286,0.0329,0.013,0.0075,0.0499,0.0555,0.0095,0.0045,0.0131,0.0499,0.0143,0.0383,0.0084,0.0255,0.0014,0.041,0.0318,0.0025,0.0531,55.05
0.0139,0.01,0.0083,0.0367,0.017,0.0195,0.0647,0.0111,0.0294,0.0116,0.0521,0.0129,0.0102,0.0039,0.002,0.0079,0.0091,0.0159,0.0281,0.0323,0.0337,0.0614,0.0159,0.0091,0.0317,0.0189,0.0053,0.0188,0.0963,0.2843,0.9117,2.2535,4.2908,6.3476,7.192,6.322,4.5552,2.4518,1.0545,0.4005,0.1568,0.0899,0.1034,0.0523,0.0794,0.0459,0.0665,0.0239,0.0418,0.0106,71.31
0.0193,0.0405,0.009,0.0301,0.0039,0.0117,0.0089,0.0155,0.0814,0.1715,0.383,0.8374,1.5159,2.2164,2.8438,3.1526,2.9603,2.502,1.7657,1.1593,0.7172,0.4852,0.3616,0.2906,0.2371,0.1724,0.1526,0.1044,0.063,0.0351,0.0458,0.0422,0.0143,0.0303,0.0099,0.0143,0.0045,0.0079,0.007,0.0201,0.0464,0.0109,0.0089,0.016,0.0448,0.0117,0.0444,0.0198,0.0399,0.0245,35.47
0.0092,0.0015,0.0188,0.0067,0.0092,0.0411,0.003,0.0248,0.0068,0.05,0.0204,0.0187,0.0499,0.0608,0.3932,1.6412,4.8645,9.4687,11.7377,9.4288,5.2338,2.0997,1.1523,1.4931,2.1363,2.4374,2.0839,1.3966,0.6596,0.2833,0.0862,0.0575,0.0236,0.0445,0.0179,0.0448,0.0802,0.008,0.0091,0.0314,0.0526,0.0233,0.0068,0.0207,0.0062,0.0487,0.0314,0.0267,0.0016,0.021,100.0
0.0322,0.0089,0.0204,0.0004,0.0072,0.0147,0.0354,0.0009,0.0119,0.001,0.0404,0.0232,0.0002,0.0065,0.0089,0.0123,0.0562,0.0169,0.0808,0.1772,0.4467,1.1973,2.6949,5.007,7.8497,10.2274,11.1934,10.2776,8.4779,5.4685,3.0139,1.4862,0.6622,0.2755,0.135,0.0913,0.0772,0.052,0.0389,0.0472,0.0321,0.0556,0.0297,0.0335,0.0199,0.051,0.047,0.0633,0.0475,0.011,100.0
0.032,0.0505,0.0032,0.0482,0.0042,0.0091,0.0413,0.0121,0.0611,0.0598,0.0039,0.0175,0.0228,0.025,0.1206,0.4239,1.3533,3.4335,6.8525,10.4088,12.1937,11.311,9.0896,6.3761,4.48,3.2259,2.1692,1.2677,0.6528,0.2882,0.1592,0.064,0.0846,0.0361,0.0465,0.0207,0.0087,0.0336,0.0531,0.0255,0.0052,0.0434,0.0673,0.0438,0.0213,0.0011,0.0187,0.0023,0.0174,0.0247,100.0
0.0298,0.0366,0.0604,0.0073,0.0082,0.0457,0.0159,0.0058,0.0315,0.0183,0.0239,0.0001,0.0053,0.0078,0.0144,0.0297,0.1322,0.3005,0.8111,1.6431,2.511,2.902,2.5055,1.7905,0.9144,0.3778,0.1521,0.0694,0.0525,0.0669,0.0544,0.0303,0.0137,0.0281,0.0381,0.0327,0.0054,0.0402,0.0319,0.0097,0.0114,0.0338,0.002,0.0194,0.0349,0.0334,0.0115,0.0379,0.0161,0.0309,28.91
0.0029,0.0117,0.0065,0.01,0.0051,0.002,0.0513,0.0118,0.0027,0.0483,0.0282,0.0542,0.0185,0.0104,0.0303,0.0459,0.0461,0.0424,0.0746,0.0137,0.0499,0.0143,0.0148,0.0092,0.0382,0.075,0.1274,0.3547,0.7337,1.3944,2.0439,2.3009,2.0474,1.4931,0.8615,0.4767,0.3066,0.2344,0.2418,0.2044,0.1598,0.1093,0.0899,0.0782,0.0601,0.0122,0.0179,0.0205,0.0541,0.0013,25.08
0.0196,0.0021,0.004,0.0353,0.0394,0.0161,0.0501,0.0252,0.0364,0.0235,0.002,0.0008,0.0364,0.0276,0.1086,0.3232,0.9267,2.0806,3.7224,5.252,5.9444,5.2922,3.9815,2.3877,1.381,0.9788,0.9388,1.0564,1.0121,1.0001,0.8379,0.6155,0.425,0.27,0.1506,0.0704,0.0852,0.0644,0.017,0.0463,0.0389,0.0303,0.0312,0.0196,0.0561,0.0128,0.012,0.0139,0.0092,0.0343,67.49
0.0253,0.0211,0.0059,0.0756,0.0129,0.0118,0.0006,0.0268,0.0202,0.0101,0.047,0.0122,0.0586,0.0298,0.0228,0.0214,0.0044,0.0351,0.0296,0.098,0.2725,0.7994,1.8182,3.5576,5.7629,7.6984,8.502,7.7981,6.322,4.1742,2.5965,1.7332,1.4563,1.4691,1.4212,1.3439,1.1289,0.8901,0.61,0.389,0.2202,0.1643,0.1019,0.0403,0.0396,0.0417,0.0132,0.023,0.0461,0.0122,98.44
0.0262,0.0153,0.0056,0.0417,0.0064,0.001,0.0006,0.0281,0.0026,0.0441,0.0253,0.0556,0.2086,0.6299,1.5633,3.1464,5.1973,7.0364,7.7891,7.0569,5.3914,3.3344,1.6558,0.7113,0.277,0.1027,0.047,0.0631,0.0557,0.0102,0.0108,0.038,0.0483,0.0121,0.0417,0.0304,0.0119,0.0458,0.0019,0.018,0.0101,0.0244,0.0309,0.062,0.0367,0.012,0.0047,0.0001,0.032,0.0378,80.39
0.0217,0.011,0.0239,0.0524,0.0308,0.0243,0.0036,0.0454,0.0065,0.0009,0.0051,0.0212,0.0197,0.0167,0.0249,0.0482,0.1051,0.2244,0.525,0.9528,1.6765,2.6186,3.5405,4.2461,4.5354,4.3249,3.8278,2.9246,2.0337,1.3517,0.9386,0.6834,0.5793,0.4608,0.3877,0.3258,0.2591,0.194,0.1383,0.0886,0.079,0.0319,0.047,0.0281,0.0647,0.0638,0.0277,0.0261,0.0093,0.0197,58.82
0.0426,0.0037,0.0042,0.0284,0.0163,0.0958,0.1337,0.3573,0.7573,1.5762,2.7982,4.3602,6.0567,7.4431,8.1197,7.8548,7.0595,5.5737,4.0784,2.876,1.991,1.3901,0.9564,0.6925,0.4508,0.2977,0.176,0.1039,0.0631,0.045,0.0521,0.0503,0.0595,0.0226,0.004,0.0131,0.0478,0.0561,0.0155,0.064,0.0011,0.0083,0.0478,0.0037,0.0314,0.0175,0.0131,0.0423,0.0083,0.0448,100.0
0.0049,0.0359,0.0144,0.0081,0.0063,0.0014,0.013,0.0118,0.0278,0.0363,0.0373,0.0218,0.002,0.05,0.008,0.0397,0.0053,0.0307,0.0554,0.0297,0.0036,0.0219,0.0127,0.0284,0.0894,0.1035,0.2784,0.7117,1.655,3.2366,5.1867,6.8609,7.5361,6.9234,5.6135,3.7624,2.2857,1.5059,1.1382,1.0475,1.0283,0.9422,0.8157,0.6571,0.5078,0.3666,0.2525,0.1373,0.0882,0.0455,86.0
0.0306,0.0387,0.009,0.0099,0.0172,0.0235,0.0171,0.0423,0.0038,0.0201,0.0224,0.0188,0.0617,0.0118,0.0093,0.0559,0.1723,0.5509,1.4066,2.6378,3.8705,4.4214,3.9112,2.8358,1.6299,0.8366,0.4887,0.3049,0.2085,0.1678,0.0995,0.1109,0.0353,0.0237,0.0239,0.0192,0.0855,0.0144,0.0271,0.0496,0.0236,0.0332,0.0107,0.0444,0.0426,0.0462,0.0083,0.0346,0.0473,0.0123,47.12
0.0618,0.024,0.0263,0.0094,0.0376,0.0341,0.0031,0.0135,0.0292,0.0011,0.0171,0.0097,0.0659,0.0381,0.0057,0.0114,0.0257,0.0457,0.0841,0.013,0.0428,0.015,0.0039,0.0193,0.0169,0.0687,0.0781,0.2807,0.9269,2.4413,5.2239,9.0387,12.6381,14.3217,13.2421,11.0714,7.5739,4.9875,3.4868,2.7181,2.0692,1.559,1.0681,0.6208,0.3563,0.2035,0.0955,0.0913,0.0305,0.0629,100.0
0.0072,0.051,0.0112,0.0079,0.0019,0.0065,0.0088,0.0151,0.0009,0.0094,0.0065,0.0337,0.0204,0.0061,0.0468,0.0168,0.0518,0.0525,0.1393,0.2246,0.3724,0.6603,1.0694,1.5493,2.018,2.3875,2.559,2.429,2.1984,1.7734,1.3005,0.9108,0.6296,0.4567,0.3523,0.2448,0.2157,0.1596,0.1421,0.075,0.0451,0.0408,0.0594,0.0402,0.0293,0.0268,0.0317,0.0576,0.0464,0.001,33.42
0.0145,0.0091,0.0759,0.0068,0.0069,0.0239,0.0037,0.0184,0.0361,0.0447,0.0074,0.0134,0.0176,0.0002,0.0163,0.0243,0.0468,0.03,0.0413,0.0357,0.0422,0.051,0.1171,0.1926,0.3983,0.7355,1.275,2.0157,2.8326,3.6405,4.241,4.5019,4.358,4.0179,3.3101,2.5461,1.8903,1.4432,1.0781,0.8468,0.7074,0.5684,0.4521,0.3447,0.2571,0.1481,0.1025,0.0679,0.0571,0.0276,59.17
0.035,0.0438,0.0056,0.0172,0.0195,0.0035,0.0347,0.0205,0.0346,0.0146,0.0044,0.0327,0.012,0.0214,0.0589,0.1082,0.2423,0.528,1.0567,1.8188,2.637,3.3148,3.633,3.4516,3.0691,2.3287,1.628,1.1682,0.9091,0.8031,0.5783,0.5131,0.3808,0.2926,0.2509,0.1498,0.0935,0.0791,0.0426,0.0315,0.042,0.0387,0.0128,0.0483,0.0074,0.0067,0.0509,0.0474,0.0184,0.025,45.76
0.0054,0.0287,0.0177,0.0374,0.0015,0.0113,0.0035,0.0355,0.028,0.0151,0.0692,0.0305,0.0248,0.0402,0.0099,0.0541,0.1615,0.3375,0.9353,2.1387,4.0752,6.5334,8.6946,9.7795,9.3676,8.2319,6.339,4.7702,3.6623,2.8797,2.2053,1.548,0.9772,0.5948,0.3267,0.1428,0.0675,0.0404,0.0394,0.0288,0.0162,0.0123,0.0661,0.0325,0.0313,0.0355,0.0303,0.0369,0.0334,0.0401,100.0
0.0375,0.0129,0.0072,0.0081,0.0075,0.0248,0.0206,0.0192,0.0047,0.0206,0.0194,0.0176,0.0202,0.0355,0.0452,0.1168,0.3195,0.5923,1.1194,1.8555,2.6798,3.2996,3.5523,3.3261,2.8014,2.0162,1.3102,0.8123,0.5723,0.4167,0.3895,0.3142,0.2559,0.255,0.1818,0.1251,0.1063,0.032,0.0234,0.0444,0.018,0.019,0.0346,0.0055,0.0111,0.0085,0.0342,0.038,0.0279,0.0112,41.98
0.0041,0.0233,0.0133,0.0081,0.0484,0.0284,0.028,0.0111,0.0335,0.0012,0.0291,0.0378,0.0192,0.0701,0.0339,0.0515,0.0409,0.1405,0.3307,0.757,1.5066,2.5892,3.8731,4.897,5.342,5.0338,4.4511,3.206,2.1761,1.3896,0.8843,0.6156,0.4432,0.2937,0.2075,0.1304,0.086,0.0601,0.0375,0.0307,0.0065,0.0064,0.011,0.0268,0.0386,0.0579,0.0174,0.0543,0.0609,0.0551,62.47
0.0535,0.0703,0.0184,0.0059,0.039,0.026,0.0068,0.0267,0.0288,0.0076,0.0209,0.0118,0.031,0.0195,0.0128,0.0321,0.0235,0.0207,0.007,0.0477,0.0152,0.0163,0.0124,0.0686,0.3062,0.9604,2.3773,4.6066,6.8878,8.0258,7.2767,5.586,3.5173,2.1497,1.4344,0.9778,0.677,0.4342,0.2455,0.1581,0.0696,0.0375,0.0658,0.0361,0.0272,0.0458,0.0077,0.0213,0.046,0.0366,87.88
0.06,0.0212,0.0149,0.0193,0.0204,0.0098,0.022,0.0243,0.1247,0.3324,0.919,2.1325,4.1552,6.6983,8.9287,9.8234,8.9405,7.2745,4.6016,2.4512,1.1809,0.521,0.2611,0.1899,0.1381,0.0856,0.0918,0.0408,0.0525,0.0669,0.0245,0.0207,0.0611,0.0101,0.0305,0.0328,0.0185,0.0188,0.0613,0.0163,0.0103,0.0103,0.0192,0.0601,0.0041,0.0068,0.008,0.0039,0.025,0.0037,100.0
0.0063,0.0137,0.013,0.0532,0.0191,0.0201,0.0329,0.0331,0.013,0.0067,0.0505,0.0143,0.0432,0.0042,0.0072,0.0267,0.0538,0.0424,0.0068,0.0247,0.0594,0.124,0.2777,0.5577,1.0287,1.661,2.4125,3.1925,3.759,4.0134,3.8644,3.4301,2.7253,2.017,1.3867,0.9099,0.6577,0.4486,0.3217,0.2658,0.2167,0.1487,0.1312,0.0691,0.0687,0.0939,0.0406,0.0093,0.0509,0.0216,51.28
0.012,0.0175,0.0422,0.006,0.0631,0.0202,0.0257,0.0164,0.0169,0.0032,0.0023,0.0394,0.0209,0.0562,0.0222,0.0141,0.0603,0.1954,0.5932,1.4474,2.9245,4.8358,6.5785,7.2323,6.6121,5.2619,3.4729,2.2395,1.6987,1.6863,1.7003,1.7686,1.6323,1.397,1.0562,0.7047,0.4539,0.2448,0.1501,0.1073,0.0536,0.0494,0.0108,0.026,0.0209,0.0266,0.0082,0.0347,0.036,0.0052,84.37
0.0118,0.001,0.0256,0.0137,0.0422,0.0023,0.0317,0.033,0.019,0.017,0.0454,0.0817,0.1321,0.3797,0.923,2.0082,3.4645,5.2683,6.7214,7.3856,6.8947,5.9602,4.2372,2.7847,1.8055,1.2617,0.9442,0.7422,0.5906,0.4681,0.3251,0.2306,0.1209,0.0885,0.0564,0.0409,0.1009,0.0472,0.0388,0.0117,0.0671,0.0279,0.0102,0.0341,0.0019,0.0111,0.0178,0.0088,0.0314,0.0391,86.77
0.0088,0.0064,0.0147,0.0017,0.0,0.0359,0.0455,0.0452,0.0003,0.0207,0.0093,0.0121,0.0201,0.0034,0.0574,0.029,0.0269,0.0822,0.0356,0.0156,0.0395,0.006,0.0618,0.0129,0.0383,0.028,0.0223,0.0206,0.1193,0.4825,1.5838,4.0709,8.0226,12.1504,14.1469,12.7516,9.7902,6.1672,3.9812,2.9239,2.4282,1.9553,1.4774,1.0194,0.6714,0.3654,0.2189,0.1033,0.0616,0.0168,100.0
0.0298,0.0159,0.0234,0.003,0.0462,0.0386,0.059,0.1413,0.2856,0.56,0.9975,1.5094,2.0333,2.4655,2.619,2.4862,2.2229,1.7113,1.2517,0.9037,0.6995,0.6411,0.5484,0.4829,0.4014,0.2993,0.2194,0.1367,0.1126,0.0511,0.0216,0.0402,0.0108,0.0053,0.0102,0.0032,0.0005,0.0178,0.0227,0.0301,0.0418,0.0264,0.0053,0.0031,0.0082,0.0707,0.0472,0.0326,0.0134,0.0572,32.63
0.0566,0.029,0.0072,0.0382,0.0004,0.0116,0.0047,0.0217,0.0061,0.0396,0.1498,0.5639,1.6249,3.5253,5.6179,6.572,5.6152,3.9216,1.8758,0.7484,0.3025,0.1328,0.0817,0.0928,0.0427,0.0429,0.0358,0.0467,0.034,0.0238,0.0625,0.0086,0.009,0.0042,0.0262,0.0498,0.0167,0.0344,0.014,0.0604,0.0198,0.0292,0.0186,0.0203,0.0267,0.042,0.0235,0.0065,0.0043,0.0458,65.16
0.0258,0.0208,0.0772,0.015,0.0597,0.0108,0.0037,0.0027,0.0224,0.0112,0.0604,0.1384,0.4314,1.244,2.8276,5.1644,7.3968,8.3036,7.3506,5.4572,3.0734,1.4032,0.5695,0.2449,0.1271,0.0697,0.0508,0.1053,0.0548,0.0475,0.018,0.0214,0.0127,0.0434,0.0173,0.0581,0.0202,0.0769,0.0381,0.0339,0.0117,0.0222,0.0263,0.0145,0.0453,0.0084,0.0563,0.002,0.0025,0.036,85.38
0.0126,0.0314,0.0036,0.0225,0.0346,0.0058,0.0001,0.0053,0.0321,0.0158,0.0001,0.0058,0.0382,0.0065,0.0256,0.0003,0.0317,0.0119,0.0004,0.0004,0.0287,0.0156,0.003,0.0226,0.0612,0.1279,0.2665,0.6518,1.3333,2.4608,3.9891,5.6224,6.9507,7.4077,6.9537,6.029,4.2762,2.6829,1.477,0.7479,0.348,0.1541,0.0933,0.0697,0.0342,0.0233,0.0255,0.0323,0.0337,0.0401,83.18
0.0147,0.016,0.079,0.0129,0.0503,0.038,0.0297,0.0206,0.0254,0.008,0.0213,0.0246,0.0348,0.0367,0.0285,0.0157,0.0028,0.0149,0.0286,0.0109,0.0352,0.0298,0.0346,0.057,0.0119,0.034,0.0144,0.0874,0.2556,0.9046,2.4789,5.1625,8.0322,9.2986,8.0387,5.7299,3.0044,1.6369,1.4407,1.9336,2.5204,2.8048,2.4635,1.808,1.0317,0.529,0.2257,0.0839,0.0209,0.0075,100.0
0.0118,0.0565,0.0148,0.0339,0.0289,0.0,0.0029,0.0424,0.005,0.029,0.0339,0.0384,0.0486,0.075,0.0709,0.2376,0.7803,1.7496,3.2969,4.8376,5.5887,5.1201,4.0431,2.6308,1.7684,1.2769,1.0245,0.8276,0.6384,0.4268,0.2646,0.1588,0.1144,0.0829,0.0535,0.0108,0.0047,0.0859,0.009,0.0142,0.0111,0.0275,0.0119,0.0216,0.0208,0.0424,0.039,0.0439,0.0303,0.0455,62.94
0.008,0.0031,0.0409,0.0132,0.0183,0.0011,0.0046,0.069,0.0432,0.0387,0.0197,0.0144,0.0489,0.0554,0.0157,0.0363,0.0124,0.0334,0.013,0.0058,0.0162,0.0258,0.0914,0.4072,1.3648,3.3481,6.6716,9.996,11.5298,10.2093,7.4949,4.589,3.041,2.6798,2.8171,2.8851,2.6953,2.1961,1.5912,1.0172,0.5912,0.2938,0.1433,0.0957,0.0491,0.0423,0.0469,0.014,0.0623,0.0192,100.0
0.034,0.0202,0.0061,0.0337,0.0415,0.0204,0.0055,0.0088,0.0112,0.0079,0.0384,0.0567,0.0127,0.0139,0.0175,0.0661,0.1695,0.5522,1.7558,4.2288,8.0365,11.9193,13.7868,12.6146,9.713,6.3275,3.9246,2.6148,1.8127,1.2407,0.7556,0.4082,0.2075,0.1063,0.0689,0.0219,0.0311,0.011,0.0617,0.012,0.0122,0.0468,0.0073,0.0075,0.012,0.0502,0.0257,0.0438,0.0431,0.0267,100.0
0.0354,0.0421,0.0074,0.0285,0.0515,0.0203,0.0002,0.0256,0.0274,0.002,0.018,0.0234,0.0018,0.0262,0.0276,0.0443,0.0154,0.0336,0.0074,0.0231,0.0468,0.0882,0.1593,0.3486,0.6906,1.1966,1.7799,2.4224,2.8527,3.0585,2.8601,2.5271,1.8858,1.2613,0.7306,0.4099,0.2239,0.1312,0.1073,0.0382,0.0762,0.0261,0.0252,0.0178,0.0421,0.0206,0.0234,0.0027,0.0281,0.0065,35.62
0.0352,0.0635,0.0429,0.0577,0.0074,0.0456,0.0014,0.0225,0.0448,0.006,0.0058,0.0594,0.0008,0.0021,0.0192,0.0213,0.0131,0.0449,0.0729,0.0577,0.1616,0.4322,1.2434,2.8331,5.1273,7.3738,8.2386,7.3068,5.5606,3.2159,1.5372,0.6475,0.3136,0.1738,0.163,0.0883,0.073,0.0815,0.0988,0.0379,0.0359,0.0536,0.0837,0.0466,0.0275,0.0081,0.0106,0.0086,0.0162,0.0302,87.0
0.013,0.0096,0.048,0.0467,0.028,0.0906,0.0474,0.0238,0.0602,0.0371,0.0474,0.0264,0.0405,0.0598,0.0066,0.0477,0.0122,0.0254,0.0554,0.2097,0.5153,1.0754,2.0089,3.168,4.1217,4.5138,4.0967,3.4122,2.1724,1.1876,0.5734,0.2409,0.1151,0.0747,0.0371,0.0764,0.0282,0.0112,0.0439,0.0223,0.0192,0.0115,0.0033,0.0294,0.0209,0.018,0.0009,0.0196,0.0155,0.0216,49.63
0.003,0.0064,0.0138,0.0102,0.0029,0.0061,0.0001,0.0512,0.0297,0.0019,0.0472,0.0112,0.0335,0.0084,0.012,0.014,0.0468,0.1482,0.4921,1.2437,2.7305,4.7705,6.7305,7.5068,6.7844,5.2174,3.2793,1.9965,1.4573,1.3151,1.2675,1.1452,0.9203,0.6483,0.4346,0.2531,0.1102,0.0619,0.0425,0.027,0.0087,0.0128,0.0252,0.0236,0.01,0.0397,0.03,0.0161,0.0046,0.0402,84.17
0.0098,0.0015,0.0442,0.0053,0.0239,0.0215,0.0186,0.0421,0.0204,0.0604,0.133,0.3298,0.6831,1.1994,1.963,2.7923,3.4282,3.676,3.4235,2.8748,2.0268,1.2738,0.7115,0.3557,0.1745,0.1067,0.0532,0.023,0.0287,0.012,0.0245,0.017,0.0136,0.0497,0.0241,0.0231,0.0134,0.0296,0.0174,0.0465,0.0173,0.0032,0.0517,0.0255,0.0105,0.0166,0.0211,0.0024,0.0105,0.0432,42.88
0.024,0.0005,0.0011,0.0158,0.0307,0.0086,0.0488,0.0409,0.0508,0.0078,0.0011,0.0326,0.0231,0.0151,0.0314,0.0063,0.0122,0.0555,0.035,0.0031,0.0075,0.0324,0.022,0.0175,0.0936,0.0762,0.182,0.3747,0.7186,1.258,1.9882,2.7461,3.314,3.5503,3.3508,2.9903,2.1912,1.4941,0.9481,0.5828,0.3949,0.2722,0.2689,0.1647,0.129,0.0883,0.1455,0.0732,0.0432,0.0202,43.42
0.0051,0.0191,0.0308,0.0183,0.0142,0.0114,0.006,0.0587,0.0348,0.1132,0.2911,0.7889,1.678,2.918,4.0342,4.5745,4.0717,3.2046,2.0226,1.2264,0.8417,0.8131,0.7989,0.8246,0.7751,0.634,0.4997,0.3406,0.2095,0.1479,0.062,0.0356,0.0474,0.0296,0.0118,0.0375,0.0145,0.0345,0.0235,0.0332,0.0069,0.0144,0.0224,0.0019,0.0025,0.0063,0.004,0.0041,0.0234,0.0283,52.7
0.0052,0.0224,0.04,0.0392,0.0166,0.0487,0.0229,0.0277,0.0037,0.0479,0.0065,0.0425,0.011,0.0074,0.0183,0.0197,0.0689,0.1397,0.5144,1.6815,4.2685,8.4142,12.6369,14.5423,12.8375,9.6857,5.6902,3.4867,2.8278,3.0376,3.3859,3.4799,3.2571,2.8146,2.1328,1.4765,0.8865,0.4827,0.265,0.1308,0.0702,0.038,0.0242,0.0275,0.037,0.0197,0.0543,0.0307,0.0385,0.01,100.0
0.0136,0.0442,0.0123,0.0209,0.0486,0.0335,0.0022,0.0197,0.0058,0.0166,0.0317,0.0353,0.0469,0.0267,0.0519,0.0162,0.0129,0.0397,0.001,0.0066,0.0013,0.0884,0.0481,0.0147,0.0099,0.0019,0.005,0.0188,0.0282,0.1112,0.3768,1.3466,3.3147,5.7308,6.9053,5.7979,3.6736,1.8016,1.0553,0.9361,1.0592,1.1036,1.0418,0.8083,0.5522,0.301,0.1606,0.0693,0.042,0.0251,72.26
0.0328,0.0291,0.0124,0.0016,0.0197,0.0094,0.0319,0.0272,0.0318,0.0378,0.0398,0.0881,0.206,0.38,0.7445,1.2909,1.8531,2.3773,2.5741,2.4297,2.1125,1.5172,1.0267,0.6634,0.4317,0.3045,0.225,0.1659,0.1209,0.0794,0.0837,0.0556,0.0191,0.0221,0.0423,0.0775,0.0331,0.0346,0.0129,0.0056,0.0201,0.0545,0.04,0.0293,0.0584,0.0709,0.0681,0.0057,0.0382,0.0289,30.72
